,0_x,0_b,0_y,record
89,False,False,0.32017915,-1
90,True,False,0.317771,1
91,True,False,0.31220975,1
92,True,False,0.30875135,1
93,True,False,0.30756865,1
94,True,False,0.31161035000000004,1
95,True,False,0.3086825,1
96,True,False,0.30847395,1
97,True,False,0.30863035,1
98,True,False,0.30634815,1
99,True,False,0.31039335,1
100,True,False,0.3135819,1
101,True,False,0.316214,1
102,True,False,0.3174678,1
103,True,False,0.31931945,1
104,True,False,0.3187801,1
105,True,False,0.31891305000000003,1
106,True,False,0.3218188,1
107,True,False,0.32310475,1
108,True,False,0.32465985,1
109,True,False,0.32528325,1
110,True,False,0.32530370000000003,1
111,True,False,0.3224382,1
112,True,False,0.321,1
113,True,False,0.32150759999999995,1
114,True,False,0.31794445,1
115,True,False,0.3150493,1
116,True,False,0.3143651,1
117,True,False,0.31484225,1
118,True,False,0.31517259999999997,-1
119,True,False,0.318,-1
120,False,False,0.31478145,-1
121,False,False,0.31293435000000003,-1
122,False,False,0.31439335,-1
123,False,False,0.3108361,-1
124,False,False,0.3095183,-1
125,False,False,0.3090547,-1
126,False,False,0.30935735,-1
127,False,False,0.31278095,-1
128,False,False,0.31371645000000004,-1
129,False,False,0.31339110000000003,-1
130,False,False,0.3125,-1
131,False,False,0.31519415,-1
132,False,False,0.31546005,-1
133,False,False,0.31414555,-1
134,False,False,0.31178185,-1
135,False,False,0.31021345,-1
136,False,False,0.3092891,-1
137,False,False,0.30827525,-1
138,False,False,0.30468605000000004,-1
139,False,False,0.30380995,-1
140,False,False,0.30225875,-1
141,False,False,0.30417735,-1
142,False,False,0.3003128,-1
143,False,False,0.29586740000000006,-1
144,False,False,0.2917619,-1
145,False,False,0.2913529,-1
146,False,False,0.2871752,-1
147,False,False,0.29128045,-1
148,False,False,0.29223475,-1
149,False,False,0.29250005,-1
150,False,False,0.2975935,-1
151,False,False,0.30149235,-1
152,False,False,0.29962330000000004,-1
153,False,False,0.2991103,-1
154,False,False,0.294059,-1
155,False,False,0.29036320000000004,-1
156,False,False,0.27898175000000003,-1
157,False,False,0.27784985,-1
158,False,False,0.27802765,-1
159,False,False,0.2807855,-1
160,False,False,0.27466455,-1
161,False,False,0.27217855,-1
162,False,False,0.26526015000000003,-1
163,False,False,0.25881575,-1
164,False,False,0.2629945,-1
165,False,False,0.27414335,-1
166,False,False,0.27305695,-1
167,False,False,0.27565155,-1
168,False,False,0.2732245,-1
169,False,False,0.27848540000000005,-1
170,False,False,0.281215,-1
171,False,False,0.27945975,-1
172,False,False,0.28096010000000005,-1
173,False,False,0.27895400000000004,-1
174,False,False,0.28195155,-1
175,False,False,0.28522805,-1
176,False,False,0.28694159999999996,-1
177,False,False,0.28844725,-1
178,False,False,0.28543240000000003,-1
179,False,False,0.28104709999999994,-1
180,True,False,0.2854178,1
181,True,False,0.29016405,1
182,True,False,0.29069290000000003,1
183,True,False,0.2915085,1
184,True,False,0.29174865,1
185,True,False,0.289595,1
186,True,False,0.2907364,1
187,True,False,0.2925,1
188,True,False,0.29612115,1
189,True,False,0.297,1
190,True,False,0.29841165000000003,1
191,True,False,0.3050713,1
192,True,False,0.30602820000000003,1
193,True,False,0.30447315,1
194,True,False,0.29547345,1
195,True,False,0.2929412,1
196,True,False,0.29590695,1
197,True,False,0.30180295,1
198,True,False,0.30084685,1
199,True,False,0.2976045,1
200,True,False,0.29874655,1
201,True,False,0.2987585,1
202,True,False,0.30109415,1
203,True,False,0.3059812,1
204,True,False,0.3086545,1
205,True,False,0.30825715,1
206,True,False,0.31040455,1
207,True,False,0.30803675,1
208,True,False,0.30850225,1
209,True,False,0.30593265000000003,1
210,True,False,0.3054524,1
211,True,False,0.30283535,1
212,True,False,0.30639055000000004,1
213,True,False,0.30896595000000004,1
214,True,False,0.31264265,1
215,True,False,0.31244390000000005,1
216,True,False,0.31518709999999994,1
217,True,False,0.316158,1
218,True,False,0.3165015,1
219,True,False,0.3184273,1
220,True,False,0.32099135,1
221,True,False,0.32277055,1
222,True,False,0.3225,1
223,True,False,0.31947000000000003,1
224,True,False,0.32103605,1
225,True,False,0.3257118,1
226,True,False,0.32649415000000004,1
227,True,False,0.32962555000000004,1
228,True,False,0.32971779999999995,1
229,True,False,0.32911175000000004,1
230,True,False,0.32833175000000003,1
231,True,False,0.3266665,1
232,True,False,0.32442365,1
233,True,False,0.3220294,1
234,True,False,0.32380430000000004,1
235,True,False,0.32447535,1
236,True,False,0.32178955,1
237,True,False,0.31819035,1
238,True,False,0.31771869999999997,-1
239,True,False,0.31263339999999995,-1
240,False,False,0.30903005,-1
241,False,False,0.31467929999999994,-1
242,False,False,0.32043395,-1
243,False,False,0.3177677,-1
244,False,False,0.31393855,-1
245,False,False,0.31642725,-1
246,False,False,0.3174535,-1
247,False,False,0.31461475,-1
248,False,False,0.31295170000000005,-1
249,False,False,0.30938560000000004,-1
250,False,False,0.30704770000000003,-1
251,False,False,0.3081856,-1
252,False,False,0.3076633,-1
253,False,False,0.30648775,-1
254,False,False,0.30897020000000003,-1
255,False,False,0.31525785,-1
256,False,False,0.31486645,-1
257,False,False,0.3169697,-1
258,False,False,0.31729245,-1
259,False,False,0.31650505,-1
260,False,False,0.31665265,-1
261,False,False,0.31443995,-1
